Filme,Diretor,Gênero
Irmão sol irmã lua,Franco Zeffirelli,Drama
O discreto charme da burguesia,Luis Bunuel,Drama
O poderoso chefão,Francis Ford Coppola,Drama
Último tango em Paris,Bernardo Bertolucci,Drama
A classe operária vai ao paraíso,Elio Petri,Comédia
A última sessão de cinema,Peter Bogdanovich,Drama
Anand,Hrishikesh Mukherjee,Drama
Dirty Harry,Don Siegel,Policial
Laranja mecânica,Stanley Kubrick,Ficção
Operação França,William Friedkin,Policial
Sob o domínio do medo,Sam Peckimpah,Drama
A filha de Ryan,David Lean,Drama
Becket,Peter Glenville,Drama
Colossus,Joseph Sargent,Ficção
Love Story,Arthur Hiller,Drama
M A S H,Robert Altmann,Guerra
O conformista,Bernardo Bertolucci,Drama
"Patton, Rebelde ou Herói?",Franklin Shaffner,Guerra
Vert-te-ei no inferno,Martin Ritt,Drama
Ana dos mil dias,Charles Jarrott,Drama
Butch Cassidy,George Roy Hill,Western
Era uma vez no oeste,Sergio Leone,Western
Meu ódio será sua herança,Sam Peckimpah,Western
Os deuses malditos,Luchino Visconti,Drama
Perdidos na noite,John Schlesinger,Drama
Sem destino,Dennis Hopper,Drama
2001: Uma Odisseia no Espaço,Stanley Kubrick,Ficção
A noite dos mortos vivos,George Romero,Terror
Bullit,Peter Yeats,Policial
O bebê de Rosemary,Roman Polanski,Terror
O leão no inverno,Anthony Harvey,Drama
O planeta dos macacos,Franklin Shaffner,Ficção
Oliver!,Carol Reed,Musical
Um convidado bem trapalhão,Blake Edwards,Comédia
A bela da tarde,Luis Bunuel,Drama
A noite dos generais,Anatoli Litvak,Guerra
A primeira noite de um homem,Mike Nichols,Drama
A sangue frio,Richard Brooks,Drama
Adivinhe quem vem para jantar,Stanley Kramer,Drama
As férias do senhor Hulot,Jacques Tati,Comédia
No calor da noite,Norman Jewison,Drama
Os doze condenados,Robert Aldrich,Guerra
Rebeldia indomável,Stuart Rosenberg,Aventura
Terra em transe,Glauber Rocha,Drama
Uma rajada de balas,Arthur Penn,Policial
Z,Costa Gravas,Drama
A batalha de Argel,Gillo Pentecorvo,Drama
Andrei Rublev,Andrei Tarkovsky,Drama
